=== 심볼별 원본 데이터 ===
symbol,tf,detectionVer,boxes,modelId,label,total,wins,losses,partials,winRate%,avgPnl%,totalPnl%,profitFactor,tradeFreq,score
GOOGL,1d,V1,1914,3,"③ PRO v2 재진입✕",0,0,0,0,0.00,0.0000,0.0000,1.000,0.000,0
GOOGL,1d,V1,1914,4,"④ TF분리",8174,7339,835,0,89.78,0.6163,5038.0250,3.605,4.271,67
GOOGL,1d,V1,1914,5,"⑤ TF분리+상한3",4106,3547,559,0,86.39,0.7988,3279.9176,3.614,2.145,70
GOOGL,1d,V1,1914,6,"⑥ +dipLow버퍼",4448,4150,298,0,93.30,0.8611,3830.3126,2.653,2.324,65
GOOGL,1d,V1,1914,7,"⑦ 풀최적화(V1)",4448,4150,298,0,93.30,0.8611,3830.3126,2.653,2.324,65
GOOGL,1d,V2+,733,8,"⑧ V2+분할익절",1139,1063,76,369,93.33,2.0641,2350.9791,5.212,1.554,93
GOOGL,1d,V2+,733,9,"⑨ V2+거래량필터",1351,1154,197,0,85.42,1.9942,2694.2142,2.737,1.843,83
GOOGL,1d,V2+,733,10,"⑩ V2+확인캔들",1491,1377,114,0,92.35,2.9151,4346.3871,6.119,2.034,100
GOOGL,1d,V2+,733,11,"⑪ V2+전체조합",1217,1171,46,237,96.22,2.7156,3304.8848,11.269,1.660,100

=== 전체 집계 ===
rank,grp,modelId,label,총박스,총거래,승,패,분할익절,승률%,기대수익%,수익팩터,종합점수,등급
1,V2+,10,"⑩ V2+확인캔들",10718,13722,12144,1578,0,88.50,3.6433,7.521,94,S
2,V2+,11,"⑪ V2+전체조합",10718,11420,10933,487,2671,95.74,3.7239,21.637,93,S
3,V2+,8,"⑧ V2+분할익절",10718,10309,9272,1037,3544,89.94,2.4902,9.054,92,S
4,V2+,9,"⑨ V2+거래량필터",10718,12356,9868,2488,0,79.86,2.3666,3.965,91,S
5,V1,4,"④ TF분리",20360,70367,61994,8373,0,88.10,0.9205,7.175,75,A
6,V1,6,"⑥ +dipLow버퍼",20360,36305,32862,3443,0,90.52,1.2166,9.106,75,A
7,V1,7,"⑦ 풀최적화(V1)",20360,36305,32862,3443,0,90.52,1.2166,9.106,75,A
8,V1,2,"② PRO v2 재진입↑",20360,81782,69771,12011,0,85.31,0.8811,6.052,74,A
9,V1,5,"⑤ TF분리+상한3",20360,33676,28054,5622,0,83.31,1.1731,4.947,74,A
10,V1,1,"① Legacy",20360,47433,29984,17449,0,63.21,0.1677,1.862,44,C
11,V1,3,"③ PRO v2 재진입✕",20360,0,0,0,0,0.00,0.0000,1.000,0,D
